id,intent,text_raw,word_count,intent_display
q_000000,irrigation_et_eau,كم مرة أسقي المحصول في الأسبوع؟,6,irrigation_et_eau
q_000001,irrigation_et_eau,ما أفضل وقت للري صباحًا أم مساءً؟,7,irrigation_et_eau
q_000002,irrigation_et_eau,كيف أحدد كمية الماء المناسبة لكل رية؟,7,irrigation_et_eau
q_000003,irrigation_et_eau,هل الري اليومي أفضل أم الري المتباعد؟,7,irrigation_et_eau
q_000004,irrigation_et_eau,ما الفرق بين الري بالتنقيط والري بالرش من حيث استهلاك الماء؟,11,irrigation_et_eau
q_000005,irrigation_et_eau,كيف أعرف أن التربة تحتاج إلى ري؟,7,irrigation_et_eau
q_000006,irrigation_et_eau,ما علامات نقص الماء على النبات؟,6,irrigation_et_eau
q_000007,irrigation_et_eau,ما علامات زيادة الري على النبات؟,6,irrigation_et_eau
q_000008,irrigation_et_eau,كيف أتعامل مع الري أثناء موجة حر؟,7,irrigation_et_eau
q_000009,irrigation_et_eau,كيف أعدل برنامج الري عند هبوب رياح قوية؟,8,irrigation_et_eau
q_000010,irrigation_et_eau,هل يجب تقليل الري عند انخفاض الحرارة؟,7,irrigation_et_eau
q_000011,irrigation_et_eau,متى أوقف الري قبل الحصاد؟,5,irrigation_et_eau
q_000012,irrigation_et_eau,كيف أزيد كفاءة استخدام المياه في الحقل؟,7,irrigation_et_eau
q_000013,irrigation_et_eau,ما أفضل طريقة لري التربة الرملية؟,6,irrigation_et_eau
q_000014,irrigation_et_eau,ما أفضل طريقة لري التربة الطينية؟,6,irrigation_et_eau
q_000015,irrigation_et_eau,كيف أضبط الري في التربة اللومية؟,6,irrigation_et_eau
q_000016,irrigation_et_eau,كم عمق البلل المطلوب لجذور النبات؟,6,irrigation_et_eau
q_000017,irrigation_et_eau,كيف أستخدم حساس رطوبة التربة لضبط الري؟,7,irrigation_et_eau
q_000018,irrigation_et_eau,ما قيمة الرطوبة المناسبة لبدء الري؟,6,irrigation_et_eau
q_000019,irrigation_et_eau,كيف أحسب الاحتياج المائي للمحصول؟,5,irrigation_et_eau
q_000020,irrigation_et_eau,كيف أستخدم معامل المحصول Kc في جدولة الري؟,8,irrigation_et_eau
q_000021,irrigation_et_eau,ما معنى البخر نتح ET0 وكيف أستفيد منه؟,8,irrigation_et_eau
q_000022,irrigation_et_eau,كيف أتعامل مع أمطار خفيفة هل أؤجل الري؟,8,irrigation_et_eau
q_000023,irrigation_et_eau,كيف أقرر الري إذا توقعت أمطارًا خلال 24 ساعة؟,9,irrigation_et_eau
q_000024,irrigation_et_eau,هل الري أثناء الظهيرة يسبب إجهادًا للنبات؟,7,irrigation_et_eau
q_000025,irrigation_et_eau,هل يمكن أن يسبب الري الليلي أمراضًا فطرية؟,8,irrigation_et_eau
q_000026,irrigation_et_eau,كيف أقلل الفاقد بالتبخر من سطح التربة؟,7,irrigation_et_eau
q_000027,irrigation_et_eau,هل التغطية بالملش تساعد على تقليل الري؟,7,irrigation_et_eau
q_000028,irrigation_et_eau,ما أفضل مواد ملش لتقليل استهلاك الماء؟,7,irrigation_et_eau
q_000029,irrigation_et_eau,كيف أطبق الري الناقص Deficit Irrigation دون خسارة كبيرة؟,9,irrigation_et_eau
q_000030,irrigation_et_eau,متى يكون الري الناقص مناسبًا؟,5,irrigation_et_eau
q_000031,irrigation_et_eau,كيف أحسب فترة الري Interval المناسبة؟,6,irrigation_et_eau
q_000032,irrigation_et_eau,كيف أحدد زمن تشغيل شبكة التنقيط؟,6,irrigation_et_eau
q_000033,irrigation_et_eau,كيف أحسب تصريف النقاطات في الخط؟,6,irrigation_et_eau
q_000034,irrigation_et_eau,كيف أعرف إن كانت النقاطات مسدودة؟,6,irrigation_et_eau
q_000035,irrigation_et_eau,ما أسباب انسداد النقاطات وكيف أعالجها؟,6,irrigation_et_eau
q_000036,irrigation_et_eau,كيف أنظف الفلاتر في نظام التنقيط؟,6,irrigation_et_eau
q_000037,irrigation_et_eau,كم مرة يجب غسل الفلتر؟,5,irrigation_et_eau
q_000038,irrigation_et_eau,كيف أعرف أن ضغط الشبكة مناسب؟,6,irrigation_et_eau
q_000039,irrigation_et_eau,ما الضغط المثالي للري بالتنقيط؟,5,irrigation_et_eau
q_000040,irrigation_et_eau,ما الضغط المناسب للري بالرش؟,5,irrigation_et_eau
q_000041,irrigation_et_eau,كيف أختار قطر الأنابيب لتقليل فقد الضغط؟,7,irrigation_et_eau
q_000042,irrigation_et_eau,كيف أوزع الخطوط بالتنقيط داخل الحقل؟,6,irrigation_et_eau
q_000043,irrigation_et_eau,ما المسافة المناسبة بين النقاطات؟,5,irrigation_et_eau
q_000044,irrigation_et_eau,ما المسافة المناسبة بين خطوط التنقيط؟,6,irrigation_et_eau
q_000045,irrigation_et_eau,هل أستخدم تنقيط سطحي أم تحت سطحي؟,7,irrigation_et_eau
q_000046,irrigation_et_eau,متى يكون التنقيط تحت السطحي أفضل؟,6,irrigation_et_eau
q_000047,irrigation_et_eau,كيف أتجنب تراكم الأملاح مع التنقيط؟,6,irrigation_et_eau
q_000048,irrigation_et_eau,كيف أغسل الأملاح من منطقة الجذور؟,6,irrigation_et_eau
q_000049,irrigation_et_eau,ما معنى غسيل التربة Leaching وكيف أحسبه؟,7,irrigation_et_eau
q_000050,irrigation_et_eau,هل جودة المياه تؤثر على برنامج الري؟,7,irrigation_et_eau
q_000051,irrigation_et_eau,كيف أقيس ملوحة الماء EC؟,5,irrigation_et_eau
q_000052,irrigation_et_eau,ما الحد المقبول لملوحة ماء الري؟,6,irrigation_et_eau
q_000053,irrigation_et_eau,كيف أتعامل مع ماء ري مالح؟,6,irrigation_et_eau
q_000054,irrigation_et_eau,هل يمكن خلط مياه مالحة مع مياه عذبة للري؟,9,irrigation_et_eau
q_000055,irrigation_et_eau,كيف يؤثر pH الماء على الري؟,6,irrigation_et_eau
q_000056,irrigation_et_eau,هل البيكربونات العالية تسبب مشاكل في الشبكة؟,7,irrigation_et_eau
q_000057,irrigation_et_eau,كيف أتعامل مع ماء يحتوي على عكارة عالية؟,8,irrigation_et_eau
q_000058,irrigation_et_eau,هل الترسيب يسبب انسداد المرشات؟,5,irrigation_et_eau
q_000059,irrigation_et_eau,ما أفضل نوع فلتر للرمل والعكارة؟,6,irrigation_et_eau
q_000060,irrigation_et_eau,هل أحتاج فلتر شبكي أم رملي أم قرصي؟,8,irrigation_et_eau
q_000061,irrigation_et_eau,كيف أختار مضخة الري المناسبة؟,5,irrigation_et_eau
q_000062,irrigation_et_eau,كيف أحسب قدرة المضخة المطلوبة؟,5,irrigation_et_eau
q_000063,irrigation_et_eau,ما علاقة ارتفاع الضخ بالضغط والتصرف؟,6,irrigation_et_eau
q_000064,irrigation_et_eau,كيف أقلل استهلاك الطاقة في الضخ؟,6,irrigation_et_eau
q_000065,irrigation_et_eau,هل الطاقة الشمسية مناسبة لتشغيل الري؟,6,irrigation_et_eau
q_000066,irrigation_et_eau,كيف أوازن بين الري والطاقة المتاحة؟,6,irrigation_et_eau
q_000067,irrigation_et_eau,ما حجم الخزان المناسب لتجميع مياه الري؟,7,irrigation_et_eau
q_000068,irrigation_et_eau,كيف أدير مخزون الماء في الخزان خلال الموسم؟,8,irrigation_et_eau
q_000069,irrigation_et_eau,كيف أحمي الخزان من التلوث والطحالب؟,6,irrigation_et_eau
q_000070,irrigation_et_eau,هل يمكن استخدام مياه الأمطار المخزنة للري؟,7,irrigation_et_eau
q_000071,irrigation_et_eau,كيف أصمم نظام حصاد مياه الأمطار للحقل؟,7,irrigation_et_eau
q_000072,irrigation_et_eau,كيف أستخدم مياه الآبار بأمان للري؟,6,irrigation_et_eau
q_000073,irrigation_et_eau,هل عمق البئر يؤثر على جودة الماء؟,7,irrigation_et_eau
q_000074,irrigation_et_eau,كيف أراقب منسوب البئر لتجنب نضوبه؟,6,irrigation_et_eau
q_000075,irrigation_et_eau,ما أفضل طريقة لتقليل جريان السطح عند الري؟,8,irrigation_et_eau
q_000076,irrigation_et_eau,كيف أتجنب تعرية التربة بسبب الري؟,6,irrigation_et_eau
