id,intent,text_raw
q_000000,irrigation_et_eau,كم مرة أسقي المحصول في الأسبوع؟
q_000001,irrigation_et_eau,ما أفضل وقت للري صباحًا أم مساءً؟
q_000002,irrigation_et_eau,كيف أحدد كمية الماء المناسبة لكل رية؟
q_000003,irrigation_et_eau,هل الري اليومي أفضل أم الري المتباعد؟
q_000004,irrigation_et_eau,ما الفرق بين الري بالتنقيط والري بالرش من حيث استهلاك الماء؟
q_000005,irrigation_et_eau,كيف أعرف أن التربة تحتاج إلى ري؟
q_000006,irrigation_et_eau,ما علامات نقص الماء على النبات؟
q_000007,irrigation_et_eau,ما علامات زيادة الري على النبات؟
q_000008,irrigation_et_eau,كيف أتعامل مع الري أثناء موجة حر؟
q_000009,irrigation_et_eau,كيف أعدل برنامج الري عند هبوب رياح قوية؟
q_000010,irrigation_et_eau,هل يجب تقليل الري عند انخفاض الحرارة؟
q_000011,irrigation_et_eau,متى أوقف الري قبل الحصاد؟
q_000012,irrigation_et_eau,كيف أزيد كفاءة استخدام المياه في الحقل؟
q_000013,irrigation_et_eau,ما أفضل طريقة لري التربة الرملية؟
q_000014,irrigation_et_eau,ما أفضل طريقة لري التربة الطينية؟
q_000015,irrigation_et_eau,كيف أضبط الري في التربة اللومية؟
q_000016,irrigation_et_eau,كم عمق البلل المطلوب لجذور النبات؟
q_000017,irrigation_et_eau,كيف أستخدم حساس رطوبة التربة لضبط الري؟
q_000018,irrigation_et_eau,ما قيمة الرطوبة المناسبة لبدء الري؟
q_000019,irrigation_et_eau,كيف أحسب الاحتياج المائي للمحصول؟
q_000020,irrigation_et_eau,كيف أستخدم معامل المحصول Kc في جدولة الري؟
q_000021,irrigation_et_eau,ما معنى البخر نتح ET0 وكيف أستفيد منه؟
q_000022,irrigation_et_eau,كيف أتعامل مع أمطار خفيفة هل أؤجل الري؟
q_000023,irrigation_et_eau,كيف أقرر الري إذا توقعت أمطارًا خلال 24 ساعة؟
q_000024,irrigation_et_eau,هل الري أثناء الظهيرة يسبب إجهادًا للنبات؟
q_000025,irrigation_et_eau,هل يمكن أن يسبب الري الليلي أمراضًا فطرية؟
q_000026,irrigation_et_eau,كيف أقلل الفاقد بالتبخر من سطح التربة؟
q_000027,irrigation_et_eau,هل التغطية بالملش تساعد على تقليل الري؟
q_000028,irrigation_et_eau,ما أفضل مواد ملش لتقليل استهلاك الماء؟
q_000029,irrigation_et_eau,كيف أطبق الري الناقص Deficit Irrigation دون خسارة كبيرة؟
q_000030,irrigation_et_eau,متى يكون الري الناقص مناسبًا؟
q_000031,irrigation_et_eau,كيف أحسب فترة الري Interval المناسبة؟
q_000032,irrigation_et_eau,كيف أحدد زمن تشغيل شبكة التنقيط؟
q_000033,irrigation_et_eau,كيف أحسب تصريف النقاطات في الخط؟
q_000034,irrigation_et_eau,كيف أعرف إن كانت النقاطات مسدودة؟
q_000035,irrigation_et_eau,ما أسباب انسداد النقاطات وكيف أعالجها؟
q_000036,irrigation_et_eau,كيف أنظف الفلاتر في نظام التنقيط؟
q_000037,irrigation_et_eau,كم مرة يجب غسل الفلتر؟
q_000038,irrigation_et_eau,كيف أعرف أن ضغط الشبكة مناسب؟
q_000039,irrigation_et_eau,ما الضغط المثالي للري بالتنقيط؟
q_000040,irrigation_et_eau,ما الضغط المناسب للري بالرش؟
q_000041,irrigation_et_eau,كيف أختار قطر الأنابيب لتقليل فقد الضغط؟
q_000042,irrigation_et_eau,كيف أوزع الخطوط بالتنقيط داخل الحقل؟
q_000043,irrigation_et_eau,ما المسافة المناسبة بين النقاطات؟
q_000044,irrigation_et_eau,ما المسافة المناسبة بين خطوط التنقيط؟
q_000045,irrigation_et_eau,هل أستخدم تنقيط سطحي أم تحت سطحي؟
q_000046,irrigation_et_eau,متى يكون التنقيط تحت السطحي أفضل؟
q_000047,irrigation_et_eau,كيف أتجنب تراكم الأملاح مع التنقيط؟
q_000048,irrigation_et_eau,كيف أغسل الأملاح من منطقة الجذور؟
q_000049,irrigation_et_eau,ما معنى غسيل التربة Leaching وكيف أحسبه؟
q_000050,irrigation_et_eau,هل جودة المياه تؤثر على برنامج الري؟
q_000051,irrigation_et_eau,كيف أقيس ملوحة الماء EC؟
q_000052,irrigation_et_eau,ما الحد المقبول لملوحة ماء الري؟
q_000053,irrigation_et_eau,كيف أتعامل مع ماء ري مالح؟
q_000054,irrigation_et_eau,هل يمكن خلط مياه مالحة مع مياه عذبة للري؟
q_000055,irrigation_et_eau,كيف يؤثر pH الماء على الري؟
q_000056,irrigation_et_eau,هل البيكربونات العالية تسبب مشاكل في الشبكة؟
q_000057,irrigation_et_eau,كيف أتعامل مع ماء يحتوي على عكارة عالية؟
q_000058,irrigation_et_eau,هل الترسيب يسبب انسداد المرشات؟
q_000059,irrigation_et_eau,ما أفضل نوع فلتر للرمل والعكارة؟
q_000060,irrigation_et_eau,هل أحتاج فلتر شبكي أم رملي أم قرصي؟
q_000061,irrigation_et_eau,كيف أختار مضخة الري المناسبة؟
q_000062,irrigation_et_eau,كيف أحسب قدرة المضخة المطلوبة؟
q_000063,irrigation_et_eau,ما علاقة ارتفاع الضخ بالضغط والتصرف؟
q_000064,irrigation_et_eau,كيف أقلل استهلاك الطاقة في الضخ؟
q_000065,irrigation_et_eau,هل الطاقة الشمسية مناسبة لتشغيل الري؟
q_000066,irrigation_et_eau,كيف أوازن بين الري والطاقة المتاحة؟
q_000067,irrigation_et_eau,ما حجم الخزان المناسب لتجميع مياه الري؟
q_000068,irrigation_et_eau,كيف أدير مخزون الماء في الخزان خلال الموسم؟
q_000069,irrigation_et_eau,كيف أحمي الخزان من التلوث والطحالب؟
q_000070,irrigation_et_eau,هل يمكن استخدام مياه الأمطار المخزنة للري؟
q_000071,irrigation_et_eau,كيف أصمم نظام حصاد مياه الأمطار للحقل؟
q_000072,irrigation_et_eau,كيف أستخدم مياه الآبار بأمان للري؟
q_000073,irrigation_et_eau,هل عمق البئر يؤثر على جودة الماء؟
q_000074,irrigation_et_eau,كيف أراقب منسوب البئر لتجنب نضوبه؟
q_000075,irrigation_et_eau,ما أفضل طريقة لتقليل جريان السطح عند الري؟
q_000076,irrigation_et_eau,كيف أتجنب تعرية التربة بسبب الري؟
q_000077,irrigation_et_eau,هل تسوية الأرض تساعد على كفاءة الري؟
q_000078,irrigation_et_eau,كيف تؤثر الميلان في الحقل على توزيع الماء؟
q_000079,irrigation_et_eau,ما أفضل طريقة لري الأراضي المنحدرة؟
q_000080,irrigation_et_eau,هل الري بالخطوط Furrow مناسب للتربة الثقيلة؟
q_000081,irrigation_et_eau,كيف أحدد طول الخطوط في الري السطحي؟
q_000082,irrigation_et_eau,كيف أقلل الفقد بالتسرب في القنوات؟
q_000083,irrigation_et_eau,هل تبطين القنوات مفيد لتوفير الماء؟
q_000084,irrigation_et_eau,كيف أتعامل مع تسربات الأنابيب في الشبكة؟
q_000085,irrigation_et_eau,كيف أكتشف تسريب ماء تحت التربة؟
q_000086,irrigation_et_eau,كيف أبرمج الري الآلي بالتايمر؟
q_000087,irrigation_et_eau,ما أخطاء جدولة الري الأكثر شيوعًا؟
q_000088,irrigation_et_eau,كيف أفرق بين الذبول بسبب العطش والذبول بسبب المرض؟
q_000089,irrigation_et_eau,هل زيادة الري تعالج الذبول دائمًا؟
q_000090,irrigation_et_eau,كيف يؤثر الري الزائد على الأكسجين في التربة؟
q_000091,irrigation_et_eau,هل الري الزائد يسبب تعفن الجذور؟
q_000092,irrigation_et_eau,كيف أعالج تعفن الجذور المرتبط بزيادة الري؟
q_000093,irrigation_et_eau,كيف أعدل الري بعد التسميد؟
q_000094,irrigation_et_eau,هل يجب الري مباشرة بعد إضافة السماد؟
q_000095,irrigation_et_eau,كيف أطبق التسميد عبر الري Fertigation؟
q_000096,irrigation_et_eau,ما أفضل توقيت للتسميد عبر التنقيط؟
q_000097,irrigation_et_eau,هل يؤثر التسميد على انسداد النقاطات؟
q_000098,irrigation_et_eau,كيف أغسل الشبكة بعد الحقن بالسماد؟
q_000099,irrigation_et_eau,كيف أستخدم حمض لتنظيف شبكة التنقيط بأمان؟
q_000100,irrigation_et_eau,متى أحتاج كلورة مياه الري؟
q_000101,irrigation_et_eau,كيف أطبق الكلورة لمنع نمو الطحالب؟
q_000102,irrigation_et_eau,هل يمكن استخدام مياه الصرف المعالجة للري؟
q_000103,irrigation_et_eau,ما احتياطات ري الخضار بمياه معالجة؟
q_000104,irrigation_et_eau,كيف أضمن سلامة الغذاء عند استخدام مياه غير تقليدية؟
q_000105,irrigation_et_eau,كيف أختار نوع الرشاش المناسب للحقل؟
q_000106,irrigation_et_eau,ما الفرق بين الرش الثابت والبيفوت؟
q_000107,irrigation_et_eau,هل البيفوت مناسب للمحاصيل الحقلية فقط؟
