id,text,label,text_processed
20191,إذا العنب يطلع عليه عفن، هل التهوية ناقصة؟,recolte_et_post_recolte,اذا العنب يطلع عليه عفن، هل التهويه ناقصه؟
13503,كيف أمنع تلوث مكان الجلوس والأكل في الحقل؟,pesticides_et_securite,كيف امنع تلوث مكان الجلوس والاكل في الحقل؟
5721,ما هي تقنيات الري بالتنقيط للزراعة في المناطق ذات التربة المالحة الغنية بالأنتيمون,irrigation_et_eau,ما هي تقنيات الري بالتنقيط للزراعه في المناطق ذات التربه المالحه الغنيه بالانتيمون
10808,ما تأثير التنفيذ التلقائي للإجراءات على الفعالية في الوقاية,maladies_et_ravageurs,ما تاثير التنفيذ التلقائي للاجراءات علي الفعاليه في الوقايه
5076,كيف أعالج مشكلة اللون سدنا في مياه الري,irrigation_et_eau,كيف اعالج مشكله اللون سدنا في مياه الري
18241,ما هي طريقة معالجة المرجان بعد الحصاد؟,recolte_et_post_recolte,ما هي طريقه معالجه المرجان بعد الحصاد؟
16420,العلاج النباتي للتربة,recolte_et_post_recolte,العلاج النباتي للتربه
6853,هل بقع الزهرة تدل على عفن رمادي مبكر؟,maladies_et_ravageurs,هل بقع الزهره تدل علي عفن رمادي مبكر؟
4796,ما هي أنظمة الري بالرش ذات أنظمة التحكم في الأكسجين الذائب,irrigation_et_eau,ما هي انظمه الري بالرش ذات انظمه التحكم في الاكسجين الذائب
2995,كيف أتعامل مع ري الدخن في حرارة شديدة مع ماء محدود؟,irrigation_et_eau,كيف اتعامل مع ري الدخن في حراره شديده مع ماء محدود؟
19431,ما طريقة حصاد الباذنجان,recolte_et_post_recolte,ما طريقه حصاد الباذنجان
13718,ما هي فوائد شبكات تبادل المعلومات بين المزارعين,pesticides_et_securite,ما هي فوائد شبكات تبادل المعلومات بين المزارعين
5162,ما تأثير الري على شفافية الفجوات الجنينية,irrigation_et_eau,ما تاثير الري علي شفافيه الفجوات الجنينيه
9798,ما تأثير جميع طرق الري بأنواعها على انتشار جميع الأمراض,maladies_et_ravageurs,ما تاثير جميع طرق الري بانواعها علي انتشار جميع الامراض
17551,ما عقوبة الغش التجاري في الوزن,recolte_et_post_recolte,ما عقوبه الغش التجاري في الوزن
16764,استخدام بالتات بلاستيكية,recolte_et_post_recolte,استخدام بالتات بلاستيكيه
12010,كيف أتعامل مع مبيد قابل للاشتعال؟,pesticides_et_securite,كيف اتعامل مع مبيد قابل للاشتعال؟
8495,كيف أتعرف على مرض الذبول الفيوزاريوم في النعناع,maladies_et_ravageurs,كيف اتعرف علي مرض الذبول الفيوزاريوم في النعناع
4956,كيف أنظم ري المزروعات في المناطق ذات الضباب الشمسي,irrigation_et_eau,كيف انظم ري المزروعات في المناطق ذات الضباب الشمسي
5646,ما تأثير الري على شفافية الهيكل الخلوي الجنيني النهائي,irrigation_et_eau,ما تاثير الري علي شفافيه الهيكل الخلوي الجنيني النهائي
1302,كيف أستخدم المزج بين مصدرين ماء لتثبيت EC؟,irrigation_et_eau,كيف استخدم المزج بين مصدرين ماء لتثبيت EC؟
