id,text,label,text_processed
20191,إذا العنب يطلع عليه عفن، هل التهوية ناقصة؟,recolte_et_post_recolte,اذا عنب طلع عفن هوه نقص
13503,كيف أمنع تلوث مكان الجلوس والأكل في الحقل؟,pesticides_et_securite,منع تلث كان جلس اكل حقل
5721,ما هي تقنيات الري بالتنقيط للزراعة في المناطق ذات التربة المالحة الغنية بالأنتيمون,irrigation_et_eau,تقن الر نقط زرع نطق ترب الح غنه نيم
10808,ما تأثير التنفيذ التلقائي للإجراءات على الفعالية في الوقاية,maladies_et_ravageurs,اثر نفذ لقئ جرء علي فعل وقي
5076,كيف أعالج مشكلة اللون سدنا في مياه الري,irrigation_et_eau,علج شكل لون سدن ياه الر
18241,ما هي طريقة معالجة المرجان بعد الحصاد؟,recolte_et_post_recolte,طرق علج مرج حصد
16420,العلاج النباتي للتربة,recolte_et_post_recolte,علج نبت ترب
6853,هل بقع الزهرة تدل على عفن رمادي مبكر؟,maladies_et_ravageurs,بقع زهر تدل علي عفن رمد بكر
4796,ما هي أنظمة الري بالرش ذات أنظمة التحكم في الأكسجين الذائب,irrigation_et_eau,ظمه الر لرش ظمه حكم كسج ذئب
2995,كيف أتعامل مع ري الدخن في حرارة شديدة مع ماء محدود؟,irrigation_et_eau,عمل ري دخن حرر شدد ماء حدد
19431,ما طريقة حصاد الباذنجان,recolte_et_post_recolte,طرق حصد ذنج
13718,ما هي فوائد شبكات تبادل المعلومات بين المزارعين,pesticides_et_securite,فئد شبك بدل علم زرع
5162,ما تأثير الري على شفافية الفجوات الجنينية,irrigation_et_eau,اثر الر علي شفف فجو جنن
9798,ما تأثير جميع طرق الري بأنواعها على انتشار جميع الأمراض,maladies_et_ravageurs,اثر طرق الر واع علي نشر مرض
17551,ما عقوبة الغش التجاري في الوزن,recolte_et_post_recolte,عقب لغش جري وزن
16764,استخدام بالتات بلاستيكية,recolte_et_post_recolte,خدم تات بلاستيكيه
12010,كيف أتعامل مع مبيد قابل للاشتعال؟,pesticides_et_securite,عمل بيد قبل شعل
8495,كيف أتعرف على مرض الذبول الفيوزاريوم في النعناع,maladies_et_ravageurs,عرف علي مرض ذبل فيوزاريوم عنع
4956,كيف أنظم ري المزروعات في المناطق ذات الضباب الشمسي,irrigation_et_eau,نظم ري زرع نطق ضبب شمس
5646,ما تأثير الري على شفافية الهيكل الخلوي الجنيني النهائي,irrigation_et_eau,اثر الر علي شفف هيكل خلي جني نهي
1302,كيف أستخدم المزج بين مصدرين ماء لتثبيت EC؟,irrigation_et_eau,خدم مزج صدر ماء تثب
3631,كيف أقيّم إن كانت الاستراتيجية تزيد تبخر وتملح سطحي؟,irrigation_et_eau,اقم ان كانت استراتيجيه تزد بخر ملح سطح
14612,كيف أختار مادة ناشرة زراعية بدل صابون منزلي؟,pesticides_et_securite,خار اده نشر زرع بدل صاب زلي
12747,كيف أوازن بين الاحتياجات البيئية والاقتصادية,pesticides_et_securite,وزن حيج بيئ اقتصاديه
17949,متى أحصد العدس؟,recolte_et_post_recolte,متي حصد عدس
4870,ما هي طرق ري المحاصيل المزروعة في تربة معالجة بالضوء البنفسجي,irrigation_et_eau,طرق ري محاصيل زرع ترب علج ضوء فسج
